title,text,label
Ex-UVA dean’s lawyer blasts Rolling Stone editor’s ‘reckless’ rape story,"'attorney for the former university of virginia dean alleged during closing arguments that the magazine’s campus rape story was reported with a “reckless disregard for the truth”. <SEP> attorney Tom Clare charged that Rolling Stone “needed a villain” for the Nov. 2014 feature piece — and the story’s author, Sabrina Erdely, decided former associate dean of students Nicole Eramo fit the bill.'",0
Georgia teacher in custody after report of shots at school,'a teacher who may have been barricaded in a classroom is in custody. <SEP> police say no children were hurt or were in danger. <SEP> the school has been evacuated and students have been taken to the Northwest Georgia Center.',0
A Nixonian end to the 2016 sleaze sweepstakes?,'john avlon: the defining scandal of the Obama era has been the media’s lackadaisical consensus. <SEP> he says the administration has used “the available federal machinery to screw our enemies”.',1
"Kellyanne Conway says White House “doesn’t care” about Clinton, but Trump certainly does","'aide to president obama, kellyanne conway, slammed the infamous dossier. <SEP> she said the white house doesn\'t talk about the 2016 election. <SEP> ""i\'m not, I haven\'t mentioned the election once,"" she said.'",1
Don’t buy Harry Reid’s smear of FBI boss James Comey,"""'if he had tried to keep a lid on it, the political impact would be far bigger when the news inevitably leaked,' said sen. john mccain. <SEP> the fault here is not with the FBI but with the Democrats’ own candidate, Hillary Clinton, who plain-out believes the law doesn’t matter if it conflicts with her desire for secrecy.""",1
"Dems should blame Hillary, not Comey, for the ‘October surprise’","'the only reason that Comey figures in the election at all is that Democrats knowingly nominated someone under FBI investigation. <SEP> the country has clearly lowered its standards in this election, and Donald Trump’s madcap candidacy provides evidence of that almost every day. <SEP> if the FBI wasn’t investigating Hillary, he also put on the record the recklessness of Clinton’s practices as secretary of state in an attempt to create public accountability.'",1
Rolling Stone editor admits rape story was botched,"""a university of virginia student, identified only as Jackie, was gang raped at a fraternity. <SEP> a dean of UVA, who claims the story painted her as indifferent to the allegations, sued the magazine for $7.85 million. <SEP> the deputy managing editor admitted on the stand that mistakes were made with the magazine's since-discredited campus rape story.""",0
Breitbart editor: We defended Roy Moore to protect Donald Trump,"'john avlon: the cynicism of a news outlet backing a candidate it knows to be a poor politician is titanic. <SEP> he says even a ""terrible,"" ""horrible"" candidate such as Moore would create so much noise on their shoulders. <SEP> the media property\'s allegiance to president obama left him with ""no option"" but to defend his positions.'",1
FBI: Man arrested after attempting to detonate vehicle bomb outside downtown OKC bank,"' 23-year-old tried to detonate what he believed was a van loaded with explosives. <SEP> court records show that Varnell admitted to ""holding 3 percent ideology"" he has been charged with attempting to use explosives to destroy a building in interstate commerce.'",0
Donate to Ace of Spades HQ!,"' : ""it is always more fun minding other people\'s busin\'"" sp: \'the plastic straw myth was a class project of......'",0
Michigan State Police say viral Facebook human trafficking video is not accurate,"'the video has been viewed over 650,000 times and shared close to 30,000 times. <SEP> the state police took to twitter saying the viral video is not accurate.'",0
Withdraw your ethnocentric comment against Northerners – Alhaji Sani to Akpaloo,"""the aspiring Ashanti Regional Chairman of the opposition National Democratic Congress (NDC) has called on the founder of Liberal Party of Ghana (LPG) Kofi Akpaloo to publicly apologise to Northerners in Ghana for saying they can never be Presidents. <SEP> he said 'no Ghanaian will vote for a Northerner to be a President of Ghana’ after the abysmal performance by the former president John Dramani Mahama in the 2016 elections.""",0
Sebastian Gorka expects a White House shake-up before Christmas. Here's our Q&A.,"'Sebastian Gorka: ""the swamp isn\'t a conspiracy theory, it\'s a real thing"" he says he\'ll be more powerful than he ever has been.'",0
Trump Tweets: 'We Will Be Taking Strong Action Today' on SW Border,"""'we will be taking strong action today,' he tweeted, without getting specific. <SEP> 'the Democrats stand in our way - they want people to pour into our country unchecked' 'that’s a big step.""",0
Donald Hits Back at Father of Fallen Muslim Soldier After His Impassioned DNC Speech Against Trump,"' Khan addressed Trump directly in his Thursday speech at the DNC, challenging the Republican presidential nominee’s proposed ban on Muslim immigrants to the u.s.. in an interview with ABC News‘ George Stephanopoulos on Saturday, Trump fired back at Khan’s statement that he has “sacrificed nothing” for his country.'",0
A Yom Kippur challenge for liberal Jews,"'john avlon: Yom Kippur is supposed to be about looking inward and admitting wrongs. <SEP> he says politically liberal Jews have spent decades issuing scorching indictments of all things Republican. <SEP> liberal synagogues are often nothing but extensions of democrat party headquarters, he writes.'",1
Donald Trump Named Presumptive GOP Nominee As Ted Cruz Drops Out of Presidential Race,"' Trump sits in a comfortable position to officially take the nomination if he secures the required 1,237 delegates needed to win his party. <SEP> despite lots of criticism, the presidential hopeful did find support in. <SEP> Sarah Palin, who has endorsed the former reality star before, but also took to. <SEP> Facebook sharing a video in which she calls for unity.'",0
Trump reportedly tried to privately ‘rationalize’ KKK membership in wake of Charlottesville,"""the latest snippet from Michael Wolff’s fire and fury is not implausible. <SEP> he writes that after the white supremacist mayhem in Charlottesville, he rationalized why people would join the KKK. <SEP> many believe the anecdotes and quotes from Wolff's book should be treated with a healthy dose of skepticism.""",1
Hillary Clinton Officially Joins the 2016 Presidential Race,"' The politician has long been hyped as the Democratic front-runner for the 2016 election. <SEP> she first ran during the 2008 election, but lost the Democratic ticket to then-junior senator Barack Obama. <SEP> when she left her position in 2013, political watchers took it as a sign that the former first lady was preparing for her own campaign in 2016.'",0
Ex-Secret Service officer behind Clinton tell-all planning defamation suit,"'a lawyer for Gary Byrne, whose book “ Crisis of Character: A White House Secret Service Officer Discloses His Firsthand Experience with Hillary, Bill, and How They Operate,” has sent notices to Media Matters for America and David Brock informing them that he intends to file suit. <SEP> the letter requests Brock and media matters to “hold” all records and communications associated with their communications regarding the former secret service officer.'",0
Textbook' Racism: Donald Trump's Attacks on Federal Judge Unite GOP from Ryan to Schwarzenegger; Clinton Warns Women Judges Could Be Next,"""u.s. district judge Gonzalo curiel is presiding over the lawsuits against the candidate's Trump university. <SEP> he was born in Indiana to Mexican immigrants. <SEP> last week, he charged that his plan to build a wall between the us-mexican border was “an absolute conflict” of interest.""",1
Trump blasts FBI leadership but says he's loyal to police,"' Trump calls the agency\'s handling of. <SEP> Hillary Clinton\'s email investigation ""really disgraceful"" he says he is ""more loyal than anyone else could be"" to police.'",0
"Susan Rice is a Gaffe Machine, but Blames the Hate on Racist and Sexist Republicans","""'if we measured political ability by a person’s capacity to say laughable talking points with a straight face, Susan Rice has to be the politician of the century,' she said. <SEP> in reality, she is being attacked because she is a ridiculous partisan hack, whose disconnect from basic facts and ability to repeat the most ridiculous spin and talking points from the Obama administration is as ridiculous as it is stunning.""",1
Enter The Stanley 65-Piece Homeowner’s Tool Kit Giveaway,"'this promotion is in no way sponsored, endorsed or administered by, or associated with, Facebook, Google, Amazon or Stanley. <SEP> by entering this sweepstakes you will be added to the ‘dealmaxx deal alert’ and the ‘freebiealert daily’.'",0
Enter For A Chance To Win 6 Months of Dollar Shave Club,"'this promotion is in no way sponsored, endorsed or administered by, or associated with, Facebook, Google, Amazon or Dollar Shave Club. <SEP> by entering this sweepstakes you will be added to the dealmaxx Deal Hunter news.'",0
Eminem lashes out at President Trump in furious rap,'the rapper released a blistering rap on president Donald Trump. <SEP> the video became a top trending topic on twitter.',0
North Korea THREAT: Trump will continue to apply MAXIMUM PRESSURE on Kim Jong-un,"'counsellor to the president, Kellyanne conway, said \'he continues to apply maximum pressure\' added that the united states is\'very happy\' to see a more unified effort against Kim Jong-un\'s regime. <SEP> comes after president Trump threatened North Korea with his ""much bigger and more powerful"" nuclear button following menacing undertones in Kim\'s speech on new year\'s day.'",0
Brown: The oxymoron called social justice,'social justice is an oxymoron based on the false premise that the cure for injustice is leveling the playing field and redistributing wealth.',1
Donald Trump Says He Supports a Database and ID Cards to Track Muslims in the U.S.: 'We're Going to Have to Look at the Mosques','presidential hopeful Donald Trump said he supports creating a mandatory database. <SEP> he said the country’s Muslims would register for the database at “different places” the comments come less than a week after terrorists wreaked havoc on the french capital. <SEP> the council on american-islamic relations criticized the candidate for the comments.',0
Recycling Obama's Failed Policies Won't Boost Democrats,"' Democratic congressional leaders trotted out a series of failed solutions to problems that only worsened under the Obama administration. <SEP> if truth-in-labeling laws applied to political slogans, the democrats would have to rename their new game plan “Awful Deal”.'",1
Donald Trump just ceded the presidency to Hillary Clinton,' It was a shocking and cravenly irresponsible thing to say. <SEP> he told moderator he will let us all know on election night whether he is going to accept the results.',1
Site pays $5K to anyone who calls Bill Clinton a ‘rapist’ at rallies,"'at least 13 ""successful participants"" have so far come forward to claim their $5,000 prize. <SEP> the offer will be running through the election, or until $100,000 in prizes have been given out.'",0
Trumpocalypse: The End Game,"""president obama has signaled exactly what he's going to do. <SEP> if he fires the special counsel, he has to delegitimize the whole investigation. <SEP> the facts are pointing in a very bad direction for the gang that can’t collude straight.""",1
Trump uncharacteristically criticizes Putin after reports of chemical attack in Syria,"' the president laid the blame squarely at the feet of Russia, Russia and Iran. <SEP> he also warned, ""Big price to pay"" for backing resident bashar al-Assad. <SEP> both Syria and Russia deny involvement in the alleged chemical attack.'",0
Democrats' DACA Dishonesty,"'john avlon: president obama slammed rescinding of deferred action for childhood arrivals. <SEP> he says it\'s not the fault of the ""dreamers"" that their parents brought them here. <SEP> but the senate voted with Byron Dorgan to end the y-1 program, a fig leaf for amnesty.'",1
"$166,000 Left in Plane’s Overheard Compartment, Returned To Owners",'a couple was flying from Chicago back to Munich last week when they forgot some very precious and valuable cargo onboard. <SEP> a cleaner saw the bag on the plane and turned it over to the airline. <SEP> the airline then gave it to the local police who found the cashier’s checks inside.',0
Cuomo Threatens Suit Against the Feds On Immigration Battle,"""80% of those apprehended in recent ICE raids in new york were either convicted criminals or charged with crimes. <SEP> the governor is siding with criminals over their victims. <SEP> he's parroting Democrats across the nation who claim ICE should be abolished because it's breaking apart families and peaceful communities.""",1
The Absurdities Mount,"'john avlon: erasing of history will not be limited to confederate monuments. <SEP> he says history has become a construction that serves not the truth but special interests. <SEP> black mayors cannot prevent southern history from being cast down the Memory Hole, he writes.'",1
Definition of freedom,"'examples of freedom in a Sentence Or Bugs would do the impossible by jumping out of the frame and landing on the drawing board of the cartoonist who was at work creating him. <SEP> freedom to transcend the laws of basic physics, to hop around in time and space, and to skip from one dimension to another has long been a crucial aspect of imaginative poetry.'",0
Harvey Shows America's Colorblind Spirit -- Bad News for Race Hustlers,"""john avlon: hurricane Harvey reveals a multi-ethnic, multiracial country. <SEP> he says blacks excel in sports, entertainment, but if they're racist, why are they so competitive? <SEP> he asks: why aren't they more likely to vote for a black president than for obama's?""",1
Conjugaison anglaise du verbe TO RESERVE,"""I had reserved you had reserved he had reserved we had reserved they had reserved I had been reserving you had bee he'd reserved we would reserve you would reserve they would reserve I would have been reaserving he would reserve we would have reserved you would have reassigned you to a different job.""",0
Trump teases impending 'strong action' on border security,"' “Our Border Laws are very weak while those of Mexico &amp;amp; Canada are very strong.”. <SEP> “the Democrats stand in our way - they want people to pour into our country unchecked....CRIME!” he wrote on twitter. <SEP> the president has been particularly preoccupied with border security this week, seemingly agitated by a group of migrants, mostly from Honduras.'",0
Trump Falsely Claims Republican Robert Mueller Is A Democrat,"'the special counsel is not a Democrat. <SEP> He is a Republican. <SEP> in 2011, Obama asked Mueller to say on beyond his initial ten-year term, and the Senate approved his request.'",0
Nigeria police personnel protest non-payment of salaries,"'eight police commands namely: Kaduna, Kebbi Gombe, Nasarawa, Ekiti, Bayelsa, Imo and Ogun are reportedly owing August and September salaries. <SEP> the protest, which cuts across the rank and file of the command, has over 2000 protesters who are gathered in front of the Salaries Office inside the command headquarters.'",0
Nicolle Wallace: Ex-White House officials admit Trump’s inner circle is ‘flying blind’ where Mueller investigation is going,"'Nicolle Wallace is the host of ""Deadline: white house"" on msnbc. <SEP> she reports that senior republican officials have told her that special counsel Robert Mueller is pursuing an obstruction of justice case against president Donald Trump.'",0
Trump and Moore: Birther buddies reunite to promote more lies,"'the two teamed up to promote the “Birther Lie” that president Obama was not born in the u.s.. the birth records show that Barack Hussein Obama II was born at 7:24 pm on august 4, 1961, in the Kapiolani Maternity &amp;amp; Gynecological Hospital in Honolulu.'",1
Fox News pundits debate whether Hillary Clinton should go to jail for Trump’s Russia scandal,"""a former fox news host and panelist alleged that it was Hillary Clinton that colluded with Russia and therefore should be taken to jail. <SEP> 'if it’s really a big threat and we want to stop them from meddling in our elections, why is it that during a three-year time span the Obama administration really didn’t do much to stop this from happening,' said town hall editor Katie Pavlich.""",0
Trump vs. Psychiatrists: Who's Crazier?,"""lz granderson: psychologists who don't assess a president are akin to Nazi doctors. <SEP> he says it's common sense, but there's a lesson to be learned. <SEP> granderson says he's not the sanest politician in the world.""",1
